timestamp,can_id,signal,value,label
1769455109.4053783,0x100,speed,0.0,replay
1769455109.4053783,0x101,steering,0.0,replay
1769455109.4053783,0x102,throttle,0.0,replay
1769455109.4053783,0x103,brake,0.0,replay
1769455109.587332,0x100,speed,0.0,replay
1769455109.587332,0x101,steering,0.0,replay
1769455109.587332,0x102,throttle,0.0,replay
1769455109.587332,0x103,brake,0.0,replay
1769455109.8495784,0x100,speed,0.0,replay
1769455109.8495784,0x101,steering,0.0,replay
1769455109.8495784,0x102,throttle,0.0,replay
1769455109.8495784,0x103,brake,0.0,replay
1769455110.1228473,0x100,speed,0.0,replay
1769455110.1228473,0x101,steering,0.0,replay
1769455110.1228473,0x102,throttle,0.0,replay
1769455110.1228473,0x103,brake,0.0,replay
1769455110.3052735,0x100,speed,0.0,replay
1769455110.3052735,0x101,steering,0.0,replay
1769455110.3052735,0x102,throttle,0.0,replay
1769455110.3052735,0x103,brake,0.0,replay
1769455110.4056149,0x100,speed,0.0,replay
1769455110.4056149,0x101,steering,0.0,replay
1769455110.4056149,0x102,throttle,0.0,replay
1769455110.4056149,0x103,brake,0.0,replay
1769455110.5965414,0x100,speed,0.0,replay
1769455110.5965414,0x101,steering,0.0,replay
1769455110.5965414,0x102,throttle,0.0,replay
1769455110.5965414,0x103,brake,0.0,replay
1769455110.6977258,0x100,speed,0.0,replay
1769455110.6977258,0x101,steering,0.0,replay
1769455110.6977258,0x102,throttle,0.0,replay
1769455110.6977258,0x103,brake,0.0,replay
1769455110.8024473,0x100,speed,0.0,replay
1769455110.8024473,0x101,steering,0.0,replay
1769455110.8024473,0x102,throttle,0.0,replay
1769455110.8024473,0x103,brake,0.0,replay
1769455110.9256427,0x100,speed,0.0,replay
1769455110.9256427,0x101,steering,0.0,replay
1769455110.9256427,0x102,throttle,0.0,replay
1769455110.9256427,0x103,brake,0.0,replay
1769455111.0094135,0x100,speed,0.0,replay
1769455111.0094135,0x101,steering,0.0,replay
1769455111.0094135,0x102,throttle,0.0,replay
1769455111.0094135,0x103,brake,0.0,replay
1769455111.3764315,0x100,speed,0.0,replay
1769455111.3764315,0x101,steering,0.0,replay
1769455111.3764315,0x102,throttle,0.0,replay
1769455111.3764315,0x103,brake,0.0,replay
1769455111.556484,0x100,speed,0.0,replay
1769455111.556484,0x101,steering,0.0,replay
1769455111.556484,0x102,throttle,0.0,replay
1769455111.556484,0x103,brake,0.0,replay
1769455111.6332588,0x100,speed,0.0,replay
1769455111.6332588,0x101,steering,0.0,replay
1769455111.6332588,0x102,throttle,0.0,replay
1769455111.6332588,0x103,brake,0.0,replay
1769455111.7439678,0x100,speed,0.0,replay
1769455111.7439678,0x101,steering,0.0,replay
1769455111.7439678,0x102,throttle,0.0,replay
1769455111.7439678,0x103,brake,0.0,replay
1769455111.8466892,0x100,speed,0.0,replay
1769455111.8466892,0x101,steering,0.0,replay
1769455111.8466892,0x102,throttle,0.0,replay
1769455111.8466892,0x103,brake,0.0,replay
1769455111.9633782,0x100,speed,0.0,replay
1769455111.9633782,0x101,steering,0.0,replay
1769455111.9633782,0x102,throttle,0.0,replay
1769455111.9633782,0x103,brake,0.0,replay
1769455112.0616562,0x100,speed,0.0,replay
1769455112.0616562,0x101,steering,0.0,replay
1769455112.0616562,0x102,throttle,0.0,replay
1769455112.0616562,0x103,brake,0.0,replay
1769455112.1454265,0x100,speed,0.0,replay
1769455112.1454265,0x101,steering,0.0,replay
1769455112.1454265,0x102,throttle,0.0,replay
1769455112.1454265,0x103,brake,0.0,replay
1769455112.2132473,0x100,speed,0.0,replay
1769455112.2132473,0x101,steering,0.0,replay
1769455112.2132473,0x102,throttle,0.0,replay
1769455112.2132473,0x103,brake,0.0,replay
1769455112.305002,0x100,speed,0.0,replay
1769455112.305002,0x101,steering,0.0,replay
1769455112.305002,0x102,throttle,0.0,replay
1769455112.305002,0x103,brake,0.0,replay
1769455112.3768182,0x100,speed,0.0,replay
1769455112.3768182,0x101,steering,0.0,replay
1769455112.3768182,0x102,throttle,0.0,replay
1769455112.3768182,0x103,brake,0.0,replay
1769455112.483523,0x100,speed,0.0,replay
1769455112.483523,0x101,steering,0.0,replay
1769455112.483523,0x102,throttle,0.0,replay
1769455112.483523,0x103,brake,0.0,replay
1769455112.6178677,0x100,speed,0.0,replay
1769455112.6178677,0x101,steering,0.0,replay
1769455112.6178677,0x102,throttle,0.0,replay
1769455112.6178677,0x103,brake,0.0,replay
1769455112.695454,0x100,speed,0.0,replay
1769455112.695454,0x101,steering,0.0,replay
1769455112.695454,0x102,throttle,0.0,replay
1769455112.695454,0x103,brake,0.0,replay
1769455112.768252,0x100,speed,0.0,replay
1769455112.768252,0x101,steering,0.0,replay
1769455112.768252,0x102,throttle,0.0,replay
1769455112.768252,0x103,brake,0.0,replay
1769455112.8689945,0x100,speed,0.0,replay
1769455112.8689945,0x101,steering,0.0,replay
1769455112.8689945,0x102,throttle,0.0,replay
1769455112.8689945,0x103,brake,0.0,replay
1769455113.016586,0x100,speed,0.0,replay
1769455113.016586,0x101,steering,0.0,replay
1769455113.016586,0x102,throttle,0.0,replay
1769455113.016586,0x103,brake,0.0,replay
1769455113.1462402,0x100,speed,0.0,replay
1769455113.1462402,0x101,steering,0.0,replay
1769455113.1462402,0x102,throttle,0.0,replay
1769455113.1462402,0x103,brake,0.0,replay
1769455113.2121558,0x100,speed,0.0,replay
1769455113.2121558,0x101,steering,0.0,replay
1769455113.2121558,0x102,throttle,0.0,replay
1769455113.2121558,0x103,brake,0.0,replay
1769455113.32549,0x100,speed,0.0,replay
1769455113.32549,0x101,steering,0.0,replay
1769455113.32549,0x102,throttle,0.0,replay
1769455113.32549,0x103,brake,0.0,replay
1769455113.4121828,0x100,speed,0.0,replay
1769455113.4121828,0x101,steering,0.0,replay
1769455113.4121828,0x102,throttle,0.0,replay
1769455113.4121828,0x103,brake,0.0,replay
1769455113.4997733,0x100,speed,0.0,replay
1769455113.4997733,0x101,steering,0.0,replay
1769455113.4997733,0x102,throttle,0.0,replay
1769455113.4997733,0x103,brake,0.0,replay
1769455113.6134503,0x100,speed,0.0,replay
1769455113.6134503,0x101,steering,0.0,replay
1769455113.6134503,0x102,throttle,0.0,replay
1769455113.6134503,0x103,brake,0.0,replay
1769455113.7147644,0x100,speed,0.0,replay
1769455113.7147644,0x101,steering,0.0,replay
1769455113.7147644,0x102,throttle,0.0,replay
1769455113.7147644,0x103,brake,0.0,replay
1769455113.846406,0x100,speed,0.0,replay
1769455113.846406,0x101,steering,0.0,replay
1769455113.846406,0x102,throttle,0.0,replay
1769455113.846406,0x103,brake,0.0,replay
1769455113.94068,0x100,speed,0.0,replay
1769455113.94068,0x101,steering,0.0,replay
1769455113.94068,0x102,throttle,0.0,replay
1769455113.94068,0x103,brake,0.0,replay
1769455114.0419414,0x100,speed,0.0,replay
1769455114.0419414,0x101,steering,0.0,replay
1769455114.0419414,0x102,throttle,0.0,replay
1769455114.0419414,0x103,brake,0.0,replay
1769455114.184092,0x100,speed,0.0,replay
1769455114.184092,0x101,steering,0.0,replay
1769455114.184092,0x102,throttle,0.0,replay
1769455114.184092,0x103,brake,0.0,replay
1769455114.2678702,0x100,speed,0.0,replay
1769455114.2678702,0x101,steering,0.0,replay
1769455114.2678702,0x102,throttle,0.0,replay
1769455114.2678702,0x103,brake,0.0,replay
1769455114.3815634,0x100,speed,0.0,replay
1769455114.3815634,0x101,steering,0.0,replay
1769455114.3815634,0x102,throttle,0.0,replay
1769455114.3815634,0x103,brake,0.0,replay
1769455114.4629061,0x100,speed,0.0,replay
1769455114.4629061,0x101,steering,0.0,replay
1769455114.4629061,0x102,throttle,0.0,replay
1769455114.4629061,0x103,brake,0.0,replay
1769455114.5486777,0x100,speed,0.0,replay
1769455114.5486777,0x101,steering,0.0,replay
1769455114.5486777,0x102,throttle,0.0,replay
1769455114.5486777,0x103,brake,0.0,replay
1769455114.6663628,0x100,speed,0.0,replay
1769455114.6663628,0x101,steering,0.0,replay
1769455114.6663628,0x102,throttle,0.0,replay
1769455114.6663628,0x103,brake,0.0,replay
1769455114.8165073,0x100,speed,0.0,replay
1769455114.8165073,0x101,steering,0.0,replay
1769455114.8165073,0x102,throttle,0.0,replay
1769455114.8165073,0x103,brake,0.0,replay
1769455115.0269475,0x100,speed,0.0,replay
1769455115.0269475,0x101,steering,0.0,replay
1769455115.0269475,0x102,throttle,0.0,replay
